periodo,edificacion_indice,publico_indice,privado_indice,unidad,fuente,nota
2018-01,97.486269,80.888241,99.535749,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-02,95.285849,92.286483,95.656203,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-03,97.816783,99.156887,97.651311,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-04,91.582175,88.662864,91.942643,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-05,100.864633,98.757007,101.124876,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-06,99.967485,95.030985,100.577031,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-07,99.632527,105.552854,98.9015,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-08,100.640879,101.702242,100.509825,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-09,104.064159,109.144752,103.436821,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-10,102.240503,106.149466,101.757835,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-11,101.443116,109.539697,100.443372,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2018-12,108.975622,113.128522,108.462834,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2019-01,100.448424,98.181322,100.72836,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2019-02,101.919876,89.608927,103.44,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2019-03,98.226193,100.608746,97.932002,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2019-04,94.574563,92.665621,94.810275,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2019-05,96.389705,88.210646,97.399633,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2019-06,95.78303,92.452987,96.194215,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
2019-07,95.20749,96.504658,95.04732,índice 2018=100,INEGI - ENEC,Valor de producción de edificación y desglose por sector contratante; serie histórica canónica del proyecto.
