periodo,edificacion_yoy_pct,vivienda_yoy_pct,unidad,fuente,nota
2024-01,11.5,6.0,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-02,11.5,12.1,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-03,8.9,-0.4,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-04,15.6,5.7,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-05,11.8,3.4,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-06,12.0,3.6,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-07,15.5,3.5,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-08,10.3,-1.1,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-09,8.6,-6.2,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-10,6.1,-8.1,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-11,0.2,-12.2,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2024-12,0.4,-8.6,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-01,0.8,2.1,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-02,5.2,5.4,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-03,4.1,7.6,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-04,3.3,4.7,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-05,0.8,4.3,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-06,4.7,6.4,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-07,-2.4,3.8,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-08,-3.5,2.3,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-09,-2.4,8.5,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-10,0.5,9.9,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-11,3.6,5.6,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2025-12,1.9,3.4,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2026-01,-1.5,-5.6,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2026-02,-3.0,-5.6,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2026-03,-0.2,-3.3,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
2026-04,-3.1,-11.0,variación anual (%),CONAVI SIESCO con datos INEGI - ENEC Serie 2018,Valores constantes; variación frente al mismo mes del año anterior.
