periodo,indice_general,unidad,base,fuente
2024-01,138.7338366,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-02,139.6869612,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-03,139.9512482,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-04,139.9507874,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-05,140.129498,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-06,140.8784103,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-07,140.8645216,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-08,141.1988107,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-09,141.8360269,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-10,141.7470028,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-11,141.7448633,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2024-12,141.7997853,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2025-01,143.6558054,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2025-02,144.8928396,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2025-03,145.3761661,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2025-04,146.6175113,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2025-05,147.0276313,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2025-06,147.0167998,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
2025-07,147.1315641,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · serie 672776
