periodo,materiales,maquinaria,labor,unidad,base,fuente
2024-01,140.576064,119.3754483,130.5213562,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-02,141.1709957,119.8366951,133.4244078,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-03,141.2982817,119.8388057,134.4406436,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-04,141.181786,119.6905364,135.0708965,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-05,141.343136,120.8019488,135.2647431,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-06,142.1142892,122.5577988,135.8115618,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-07,142.0628403,122.7100204,135.9840797,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-08,142.3311141,124.2007056,136.5742656,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-09,142.9901819,125.3763889,137.0503352,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-10,142.8700351,125.4846256,137.1108225,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-11,142.8424982,126.6103268,137.1504619,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2024-12,142.8831754,126.7553844,137.2738271,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2025-01,144.8231229,127.8896596,138.7424162,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2025-02,145.7924764,128.9755409,141.4186894,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2025-03,146.3290418,129.2185774,141.6381989,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2025-04,147.3992928,129.8485954,143.8421759,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2025-05,147.8783412,129.1741168,143.9749156,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2025-06,147.8255983,128.7515413,144.2216309,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
2025-07,147.8721959,128.5061831,144.729595,indice,julio 2019=100,INEGI · INPP · Construcción residencial por ciudad · Nacional · series 672777–672779
