periodo,indice,variacion_mensual,variacion_anual
2018-01,101.1,,
2018-02,106.5,5.341,
2018-03,101.1,-5.07,
2018-04,99.5,-1.583,
2018-05,101.7,2.211,
2018-06,102.5,0.787,
2018-07,103.2,0.683,
2018-08,95.8,-7.171,
2018-09,101.5,5.95,
2018-10,102.2,0.69,
2018-11,93.8,-8.219,
2018-12,100.6,7.249,
2019-01,105.8,5.169,4.649
2019-02,101.9,-3.686,-4.319
2019-03,100,-1.865,-1.088
2019-04,102.5,2.5,3.015
2019-05,96.1,-6.244,-5.506
2019-06,102,6.139,-0.488
2019-07,98.2,-3.725,-4.845
2019-08,97.7,-0.509,1.983
2019-09,95.8,-1.945,-5.616
2019-10,97,1.253,-5.088
2019-11,102.2,5.361,8.955
2019-12,100.7,-1.468,0.099
2020-01,98.6,-2.085,-6.805
2020-02,93.9,-4.767,-7.851
2020-03,95.9,2.13,-4.1
2020-04,50.9,-46.924,-50.341
2020-05,56.6,11.198,-41.103
2020-06,75.7,33.746,-25.784
2020-07,74.3,-1.849,-24.338
2020-08,87.6,17.9,-10.338
2020-09,83.9,-4.224,-12.422
2020-10,88.7,5.721,-8.557
2020-11,96.4,8.681,-5.675
2020-12,89.2,-7.469,-11.42
2021-01,88.4,-0.897,-10.345
2021-02,91.4,3.394,-2.662
2021-03,86,-5.908,-10.323
2021-04,87.6,1.86,72.102
2021-05,89.3,1.941,57.774
2021-06,85.7,-4.031,13.21
2021-07,87.4,1.984,17.631
2021-08,92.2,5.492,5.251
2021-09,91,-1.302,8.462
2021-10,85.9,-5.604,-3.157
2021-11,87.8,2.212,-8.921
2021-12,86.7,-1.253,-2.803
2022-01,84.4,-2.653,-4.525
2022-02,87.2,3.318,-4.595
2022-03,88,0.917,2.326
2022-04,90.6,2.955,3.425
2022-05,84.3,-6.954,-5.599
2022-06,85.6,1.542,-0.117
2022-07,83.9,-1.986,-4.005
2022-08,85.8,2.265,-6.941
2022-09,81.9,-4.545,-10
2022-10,80.4,-1.832,-6.403
2022-11,84.3,4.851,-3.986
2022-12,86.5,2.61,-0.231
2023-01,85.4,-1.272,1.185
2023-02,84.4,-1.171,-3.211
2023-03,87.8,4.028,-0.227
2023-04,84.2,-4.1,-7.064
2023-05,84.5,0.356,0.237
2023-06,87.2,3.195,1.869
2023-07,86.3,-1.032,2.861
2023-08,87.1,0.927,1.515
2023-09,88.5,1.607,8.059
2023-10,94.3,6.554,17.289
2023-11,87.4,-7.317,3.677
2023-12,86.8,-0.686,0.347
2024-01,92.4,6.452,8.197
2024-02,85,-8.009,0.711
2024-03,85.7,0.824,-2.392
2024-04,90.8,5.951,7.838
2024-05,92.7,2.093,9.704
2024-06,86.8,-6.365,-0.459
2024-07,92.3,6.336,6.952
2024-08,86.9,-5.85,-0.23
2024-09,94.3,8.516,6.554
2024-10,88.4,-6.257,-6.257
2024-11,91.5,3.507,4.691
2024-12,87.6,-4.262,0.922
2025-01,90.5,3.311,-2.056
2025-02,96.6,6.74,13.647
2025-03,98.6,2.07,15.053
2025-04,92.1,-6.592,1.432
2025-05,100.3,8.903,8.198
2025-06,98,-2.293,12.903
2025-07,96.9,-1.122,4.984
2025-08,96.9,0,11.507
2025-09,92.8,-4.231,-1.591
2025-10,99.3,7.004,12.33
2025-11,99.7,0.403,8.962
2025-12,100,0.301,14.155
2026-01,97.8,-2.2,8.066
2026-02,98.4,0.613,1.863
2026-03,93.086,-5.4,-8.4
2026-04,104.629,12.4,16.7
2026-05,96.363,-7.9,-5.4
