periodo,indice,variacion_mensual,variacion_anual
2021-01,96.87,,
2021-02,100.57,3.82,
2021-03,99.35,-1.213,
2021-04,100.63,1.288,
2021-05,101.1,0.467,
2021-06,97.88,-3.185,
2021-07,97.66,-0.225,
2021-08,103.42,5.898,
2021-09,102.62,-0.774,
2021-10,100.46,-2.105,
2021-11,99.22,-1.234,
2021-12,100.22,1.008,
2022-01,101.75,1.527,5.038
2022-02,103.39,1.612,2.804
2022-03,105.63,2.167,6.321
2022-04,106.83,1.136,6.161
2022-05,101.9,-4.615,0.791
2022-06,102.21,0.304,4.424
2022-07,101.05,-1.135,3.471
2022-08,101.51,0.455,-1.847
2022-09,100.88,-0.621,-1.696
2022-10,99.62,-1.249,-0.836
2022-11,103.97,4.367,4.787
2022-12,107.52,3.414,7.284
2023-01,106.92,-0.558,5.081
2023-02,107.29,0.346,3.772
2023-03,109.33,1.901,3.503
2023-04,108.02,-1.198,1.114
2023-05,112.04,3.722,9.951
2023-06,116.26,3.767,13.746
2023-07,116.31,0.043,15.101
2023-08,119.48,2.725,17.703
2023-09,121.3,1.523,20.242
2023-10,126.54,4.32,27.023
2023-11,121.45,-4.022,16.813
2023-12,121.47,0.016,12.974
2024-01,124.25,2.289,16.208
2024-02,118.29,-4.797,10.253
2024-03,118.85,0.473,8.708
2024-04,120.19,1.127,11.266
2024-05,121.58,1.157,8.515
2024-06,118.26,-2.731,1.72
2024-07,123.46,4.397,6.147
2024-08,118.87,-3.718,-0.511
2024-09,121.75,2.423,0.371
2024-10,116.06,-4.674,-8.282
2024-11,116.34,0.241,-4.207
2024-12,114.01,-2.003,-6.141
2025-01,114.24,0.202,-8.056
2025-02,118.53,3.755,0.203
2025-03,121.68,2.658,2.381
2025-04,114.16,-6.18,-5.017
2025-05,120.13,5.23,-1.193
2025-06,119.22,-0.758,0.812
2025-07,118.33,-0.747,-4.155
2025-08,116.19,-1.809,-2.255
2025-09,113.76,-2.091,-6.563
2025-10,118.33,4.017,1.956
2025-11,119.81,1.251,2.983
2025-12,121.24,1.194,6.342
2026-01,119.42,-1.501,4.534
2026-02,119.62,0.167,0.92
2026-03,116.12,-2.926,-4.569
2026-04,124.04,6.821,8.655
2026-05,119.41,-3.733,-0.599
2026-06,122.992,3,4.2
