periodo,construccion
2023-07,1844.064
2023-08,1882.75
2023-09,1892.773
2023-10,1930.279
2023-11,1929.454
2023-12,1816.215
2024-01,1858.792
2024-02,1882.927
2024-03,1842.196
2024-04,1864.689
2024-05,1861.093
2024-06,1879.377
2024-07,1898.968
2024-08,1904.352
2024-09,1887.542
2024-10,1881.978
2024-11,1841.573
2024-12,1702.393
2025-01,1741.885
2025-02,1755.656
2025-03,1746.345
2025-04,1743.119
2025-05,1728.574
2025-06,1725.135
2025-07,1749.211
2025-08,1756.173
2025-09,1763.366
2025-10,1794.758
2025-11,1786.139
2025-12,1663.649
2026-01,1705.843
2026-02,1730.813
2026-03,1734.687
