categoria,indicador,periodo,valor,unidad,fuente
Actividad económica,IFB construcción residencial,2018,99.7,índice base 2018=100,INEGI
Actividad económica,IFB construcción residencial,2019,99.9,índice base 2018=100,INEGI
Actividad económica,IFB construcción residencial,2020,88.5,índice base 2018=100,INEGI
Actividad económica,IFB construcción residencial,2021,85.6,índice base 2018=100,INEGI
Actividad económica,IFB construcción residencial,2022,84.6,índice base 2018=100,INEGI
Actividad económica,IFB construcción residencial,2023,84.4,índice base 2018=100,INEGI
Actividad económica,IFB construcción residencial,2024,89.9,índice base 2018=100,INEGI
Actividad económica,IFB construcción residencial,2025,98.7,índice base 2018=100,INEGI
Actividad económica,IMAI construcción,2018,98.8,índice base 2018=100,INEGI
Actividad económica,IMAI construcción,2019,93.6,índice base 2018=100,INEGI
Actividad económica,IMAI construcción,2020,83.9,índice base 2018=100,INEGI
Actividad económica,IMAI construcción,2021,87.1,índice base 2018=100,INEGI
Actividad económica,IMAI construcción,2022,93.3,índice base 2018=100,INEGI
Actividad económica,IMAI construcción,2023,110.1,índice base 2018=100,INEGI
Actividad económica,IMAI construcción,2024,102.6,índice base 2018=100,INEGI
Actividad económica,IMAI construcción,2025,107.9,índice base 2018=100,INEGI
Actividad económica,PIB vivienda,2013,857599.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2014,907830.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2015,969042.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2016,1065073.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2017,1156240.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2018,1235753.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2019,1292515.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2020,1180524.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2021,1358009.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2022,1484766.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2023,1595625.0,millones de pesos,INEGI
Actividad económica,PIB vivienda,2024,1693949.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2013,62954.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2014,64532.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2015,68488.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2016,76889.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2017,70468.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2018,72973.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2019,75832.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2020,83122.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2021,94403.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2022,100164.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2023,112377.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Adquisición,2024,118949.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Edificación,2013,536180.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Edificación,2014,570930.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Edificación,2015,618419.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Edificación,2016,694439.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Edificación,2017,780893.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Edificación,2018,847362.0,millones de pesos,INEGI
Actividad económica,PIB vivienda - Edificación,2019,887976.0,millones de pesos,INEGI
