entidad,precio_promedio_pesos,p25_pesos,p50_pesos,p75_pesos,periodo,fuente
Nacional,1960032,843000,1299580,2226101,2T 2026,Sociedad Hipotecaria Federal (SHF)
Aguascalientes,1566417,769518,1200000,1938477,2T 2026,Sociedad Hipotecaria Federal (SHF)
Baja California,2320797,1221836,1587201,2614000,2T 2026,Sociedad Hipotecaria Federal (SHF)
Baja California Sur,2615393,1317000,1845565,2897733,2T 2026,Sociedad Hipotecaria Federal (SHF)
Campeche,1595079,1021730,1334000,1872250,2T 2026,Sociedad Hipotecaria Federal (SHF)
Chiapas,1491025,862915,1177463,1770425,2T 2026,Sociedad Hipotecaria Federal (SHF)
Chihuahua,1752882,891642,1301862,2132894,2T 2026,Sociedad Hipotecaria Federal (SHF)
Ciudad de México,4285135,2263012,3301516,5203073,2T 2026,Sociedad Hipotecaria Federal (SHF)
Coahuila,1438369,763280,1020703,1654824,2T 2026,Sociedad Hipotecaria Federal (SHF)
Colima,1476614,811000,1136195,1632574,2T 2026,Sociedad Hipotecaria Federal (SHF)
Durango,1201986,696826,845983,1309000,2T 2026,Sociedad Hipotecaria Federal (SHF)
Guanajuato,1659672,833204,1221641,1910900,2T 2026,Sociedad Hipotecaria Federal (SHF)
Guerrero,1819781,885618,1293725,1939403,2T 2026,Sociedad Hipotecaria Federal (SHF)
Hidalgo,1390156,834743,1193176,1633550,2T 2026,Sociedad Hipotecaria Federal (SHF)
Jalisco,2107232,721973,1200979,2532569,2T 2026,Sociedad Hipotecaria Federal (SHF)
Estado de México,2201128,883395,1364588,2514775,2T 2026,Sociedad Hipotecaria Federal (SHF)
Michoacán,1587258,799775,1178900,1797716,2T 2026,Sociedad Hipotecaria Federal (SHF)
Morelos,2232643,1009408,1711685,2522000,2T 2026,Sociedad Hipotecaria Federal (SHF)
Nayarit,2256263,1176055,1529958,2456575,2T 2026,Sociedad Hipotecaria Federal (SHF)
Nuevo León,2042664,803858,1214074,2233216,2T 2026,Sociedad Hipotecaria Federal (SHF)
Oaxaca,2011338,1002942,1451000,2079000,2T 2026,Sociedad Hipotecaria Federal (SHF)
Puebla,1916917,963858,1447020,2303514,2T 2026,Sociedad Hipotecaria Federal (SHF)
Querétaro,2381522,1285300,1907749,3005982,2T 2026,Sociedad Hipotecaria Federal (SHF)
Quintana Roo,1991230,1084000,1310995,2230366,2T 2026,Sociedad Hipotecaria Federal (SHF)
San Luis Potosí,1833656,979440,1336978,1898348,2T 2026,Sociedad Hipotecaria Federal (SHF)
Sinaloa,1726750,845116,1254600,1956108,2T 2026,Sociedad Hipotecaria Federal (SHF)
Sonora,1767242,865000,1175452,1923048,2T 2026,Sociedad Hipotecaria Federal (SHF)
Tabasco,1487379,783845,1077788,1704422,2T 2026,Sociedad Hipotecaria Federal (SHF)
Tamaulipas,1147405,727339,845500,1215640,2T 2026,Sociedad Hipotecaria Federal (SHF)
Tlaxcala,1168987,699752,937000,1481250,2T 2026,Sociedad Hipotecaria Federal (SHF)
Veracruz,1420765,755000,1022000,1639046,2T 2026,Sociedad Hipotecaria Federal (SHF)
Yucatán,2019785,975100,1485687,2342968,2T 2026,Sociedad Hipotecaria Federal (SHF)
Zacatecas,1293218,769270,1030960,1539382,2T 2026,Sociedad Hipotecaria Federal (SHF)
