periodo,valor_mdp_2018_anualizado,variacion_anual_real,nota
2023-T1,,1.8,Variación anual real conservada de la serie previa; nivel aproximado eliminado.
2023-T2,,4.2,Variación anual real conservada de la serie previa; nivel aproximado eliminado.
2023-T3,,9.5,Variación anual real conservada de la serie previa; nivel aproximado eliminado.
2023-T4,,12.7,Variación anual real conservada de la serie previa; nivel aproximado eliminado.
2024-T1,,4.8,Variación anual real conservada de la serie previa; nivel aproximado eliminado.
2024-T2,,11.4,Variación anual real conservada de la serie previa; nivel aproximado eliminado.
2024-T3,,8.8,Variación anual real conservada de la serie previa; nivel aproximado eliminado.
2024-T4,,2.8,Variación anual real conservada de la serie previa; nivel aproximado eliminado.
2025-T1,,6.4,Nivel no imputado.
2025-T2,,2.8,Nivel no imputado.
2025-T3,,-0.1,Nivel no imputado.
2025-T4,,8.1,Nivel no imputado.
2026-T1,,,PIBT/SCNM disponible; valor exacto del subsector 236 pendiente de importación automática.
2026-T2,,,PIBT/SCNM disponible; valor exacto del subsector 236 pendiente de importación automática.
